                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0996,                 3.5676,                 2.1999,                0.79028,                 0.1597,                0.17888,                0.10446,                 1.4153,                 1.1792,                 1.6417,               0.070216,              0.0033094,              0.0033094
                      1,                 1.7427,                 1.9588,                 1.8561,                0.69322,                0.29103,                0.30847,                0.18127,                 1.4155,                0.92548,                  1.513,               0.040128,               0.006555,               0.006555
                      2,                 1.7053,                 1.7693,                 1.7722,                0.81894,                0.29832,                0.37638,                0.23204,                 1.4034,                0.88899,                 1.4523,              0.0099525,              0.0097127,              0.0097127
                      3,                 1.7004,                 1.6992,                 1.7545,                0.54302,                 0.4191,                0.41437,                0.25445,                 1.3971,                0.82046,                 1.4258,               0.009604,               0.009604,               0.009604
                      4,                  1.673,                 1.6127,                  1.722,                0.60611,                 0.4419,                0.50113,                0.31364,                 1.3674,                0.80726,                 1.3959,               0.009604,               0.009604,               0.009604
                      5,                 1.6309,                 1.4965,                 1.6834,                0.59638,                0.51042,                0.57583,                0.37052,                 1.3764,                0.69157,                 1.3979,               0.009472,               0.009472,               0.009472
                      6,                 1.6077,                 1.4373,                  1.667,                0.64135,                0.52226,                0.60086,                0.39393,                 1.3712,                0.75909,                 1.3991,                0.00934,                0.00934,                0.00934
                      7,                 1.5795,                  1.365,                 1.6397,                0.67058,                0.61268,                0.67918,                 0.4342,                 1.3927,                0.66363,                 1.4144,               0.009208,               0.009208,               0.009208
                      8,                  1.556,                 1.3337,                 1.6214,                0.76998,                0.67289,                0.78265,                0.52192,                 1.3293,                 0.5869,                 1.3592,               0.009076,               0.009076,               0.009076
                      9,                 1.5419,                 1.2769,                 1.6065,                0.71645,                0.72343,                0.80902,                0.54908,                 1.3271,                0.59674,                 1.3549,               0.008944,               0.008944,               0.008944
                     10,                 1.5191,                  1.243,                  1.593,                0.75013,                0.74882,                0.82751,                 0.5657,                 1.3018,                0.57827,                 1.3341,               0.008812,               0.008812,               0.008812
                     11,                 1.5135,                 1.2405,                  1.582,                0.81662,                0.76724,                0.86597,                0.58774,                 1.3126,                0.54855,                  1.339,                0.00868,                0.00868,                0.00868
                     12,                 1.4947,                 1.2051,                 1.5634,                0.78422,                0.78542,                0.87166,                0.51024,                 1.6366,                0.70104,                 1.5432,               0.008548,               0.008548,               0.008548
                     13,                 1.4824,                 1.1809,                 1.5511,                0.84176,                0.79218,                0.91229,                0.62987,                 1.3056,                0.54744,                 1.3334,               0.008416,               0.008416,               0.008416
                     14,                 1.4802,                 1.1675,                 1.5548,                0.85166,                0.83445,                0.90052,                0.61088,                  1.334,                0.55392,                 1.3591,               0.008284,               0.008284,               0.008284
                     15,                 1.4551,                 1.1387,                 1.5364,                0.86592,                0.86058,                 0.9402,                 0.6507,                 1.2959,                0.51372,                 1.3257,               0.008152,               0.008152,               0.008152
                     16,                 1.4422,                  1.129,                 1.5247,                0.89487,                0.85912,                0.94048,                0.66006,                 1.2843,                0.52739,                  1.324,                0.00802,                0.00802,                0.00802
                     17,                 1.4325,                 1.1108,                 1.5145,                0.88625,                0.86926,                0.94866,                0.66036,                  1.292,                 0.5271,                 1.3218,               0.007888,               0.007888,               0.007888
                     18,                 1.4255,                 1.0914,                 1.5041,                 0.8745,                0.89875,                0.95518,                0.64983,                 1.2984,                 0.4919,                 1.3215,               0.007756,               0.007756,               0.007756
                     19,                 1.4076,                 1.0636,                 1.4871,                0.86613,                0.90591,                0.96147,                0.66281,                 1.3019,                0.50357,                  1.327,               0.007624,               0.007624,               0.007624
                     20,                 1.3975,                 1.0597,                 1.4789,                0.87513,                0.91854,                0.96498,                0.67065,                 1.2909,                0.49773,                 1.3132,               0.007492,               0.007492,               0.007492
                     21,                 1.3887,                 1.0372,                 1.4761,                0.89104,                0.89815,                0.96202,                0.67348,                 1.2879,                0.48369,                 1.3232,                0.00736,                0.00736,                0.00736
                     22,                 1.3808,                 1.0417,                 1.4704,                0.90804,                0.91537,                0.96474,                0.66565,                 1.3009,                0.49883,                 1.3359,               0.007228,               0.007228,               0.007228
                     23,                 1.3648,                 1.0221,                 1.4615,                0.91124,                0.89704,                0.96173,                0.67462,                 1.2764,                0.51573,                 1.3127,               0.007096,               0.007096,               0.007096
                     24,                 1.3596,                 1.0121,                 1.4542,                0.91893,                0.91408,                0.96969,                0.68299,                 1.2771,                0.46433,                  1.307,               0.006964,               0.006964,               0.006964
                     25,                 1.3531,                 1.0203,                  1.454,                0.91992,                0.91537,                0.97551,                0.68547,                  1.275,                0.48542,                 1.3127,               0.006832,               0.006832,               0.006832
                     26,                 1.3424,                0.99755,                 1.4384,                0.92336,                0.92212,                0.97367,                 0.6739,                 1.2756,                0.46945,                 1.3058,                 0.0067,                 0.0067,                 0.0067
                     27,                 1.3336,                0.98562,                  1.428,                0.93549,                0.91565,                 0.9694,                0.68676,                 1.2672,                0.45871,                 1.2987,               0.006568,               0.006568,               0.006568
                     28,                 1.3267,                0.95316,                 1.4234,                0.93221,                0.92628,                 0.9765,                0.69074,                 1.2735,                0.45261,                 1.3091,               0.006436,               0.006436,               0.006436
                     29,                  1.312,                0.96547,                 1.4129,                0.92103,                0.93831,                0.97626,                0.68956,                 1.2636,                 0.4554,                 1.2949,               0.006304,               0.006304,               0.006304
                     30,                 1.3093,                0.95833,                 1.4095,                0.95245,                0.92009,                0.98066,                0.69397,                  1.265,                0.46525,                  1.294,               0.006172,               0.006172,               0.006172
                     31,                 1.2964,                  0.936,                 1.3981,                0.93475,                0.94822,                0.98208,                0.69047,                 1.2756,                0.45172,                 1.3096,                0.00604,                0.00604,                0.00604
                     32,                 1.2859,                0.93546,                 1.3946,                 0.9398,                0.95526,                0.97961,                0.69511,                 1.2677,                   0.45,                 1.3019,               0.005908,               0.005908,               0.005908
                     33,                 1.2799,                0.91509,                 1.3855,                0.93366,                0.94709,                0.97608,                0.69004,                 1.2688,                0.44879,                 1.2958,               0.005776,               0.005776,               0.005776
                     34,                 1.2739,                0.92019,                 1.3883,                 0.9374,                0.92288,                0.97192,                0.68841,                 1.2619,                0.47188,                 1.2942,               0.005644,               0.005644,               0.005644
                     35,                 1.2644,                0.91328,                 1.3831,                0.94853,                0.93757,                0.97917,                0.69669,                 1.2674,                0.45597,                 1.3049,               0.005512,               0.005512,               0.005512
                     36,                 1.2626,                0.90224,                 1.3803,                0.93795,                0.94034,                0.98048,                0.69382,                  1.259,                0.47548,                 1.2982,                0.00538,                0.00538,                0.00538
                     37,                  1.251,                0.88403,                 1.3621,                0.95428,                0.95417,                0.98137,                0.69862,                 1.2555,                0.48013,                 1.2982,               0.005248,               0.005248,               0.005248
                     38,                 1.2391,                0.87475,                 1.3653,                0.93703,                0.95294,                0.97672,                0.69175,                 1.2573,                0.52491,                 1.3035,               0.005116,               0.005116,               0.005116
                     39,                 1.2354,                0.86918,                 1.3634,                0.95586,                0.94817,                0.97802,                0.69299,                 1.2586,                0.43053,                 1.2974,               0.004984,               0.004984,               0.004984
                     40,                 1.2304,                0.85588,                  1.358,                0.95452,                0.94544,                0.98107,                0.69662,                  1.256,                0.43072,                 1.2887,               0.004852,               0.004852,               0.004852
                     41,                 1.2191,                0.84497,                 1.3508,                0.94728,                0.94804,                0.97699,                0.69271,                 1.2519,                 0.4909,                 1.2929,                0.00472,                0.00472,                0.00472
                     42,                 1.2145,                0.84565,                 1.3448,                0.95139,                0.95535,                0.98206,                0.69731,                 1.2527,                0.46239,                 1.3015,               0.004588,               0.004588,               0.004588
                     43,                 1.2031,                0.83116,                 1.3407,                0.95433,                0.95135,                0.98265,                0.69689,                 1.2533,                0.43928,                 1.2847,               0.004456,               0.004456,               0.004456
                     44,                 1.1952,                0.81989,                 1.3353,                0.95375,                 0.9513,                 0.9803,                0.69821,                 1.2592,                0.44795,                  1.292,               0.004324,               0.004324,               0.004324
                     45,                 1.1781,                0.80273,                 1.3227,                0.95227,                0.94323,                0.97597,                0.69753,                 1.2538,                0.44941,                 1.2958,               0.004192,               0.004192,               0.004192
                     46,                 1.1849,                0.80745,                 1.3152,                0.95637,                0.95718,                0.98063,                0.70362,                 1.2504,                0.44811,                 1.2942,                0.00406,                0.00406,                0.00406
                     47,                 1.1705,                0.79623,                 1.3174,                0.95359,                0.94343,                0.98282,                0.69507,                 1.2502,                0.45184,                 1.2912,               0.003928,               0.003928,               0.003928
                     48,                 1.1678,                0.79134,                  1.312,                0.95615,                0.95539,                 0.9812,                0.69786,                  1.253,                 0.4166,                 1.3014,               0.003796,               0.003796,               0.003796
                     49,                 1.1599,                 0.7846,                 1.3097,                 0.9558,                0.95989,                0.98181,                0.69448,                 1.2478,                0.46738,                 1.3006,               0.003664,               0.003664,               0.003664
                     50,                 1.1564,                0.79107,                 1.3106,                0.96232,                0.96424,                0.98288,                0.70305,                 1.2539,                0.43102,                  1.293,               0.003532,               0.003532,               0.003532
                     51,                 1.1465,                0.77674,                 1.2975,                0.95408,                0.96052,                0.98299,                0.70291,                 1.2547,                0.43844,                 1.2996,                 0.0034,                 0.0034,                 0.0034
                     52,                 1.1398,                0.76181,                 1.2944,                0.96529,                0.95244,                0.98302,                0.70174,                 1.2511,                0.40836,                 1.2883,               0.003268,               0.003268,               0.003268
                     53,                 1.1307,                0.75555,                 1.2909,                 0.9548,                0.95575,                0.98049,                0.70076,                 1.2529,                0.45498,                 1.3029,               0.003136,               0.003136,               0.003136
                     54,                 1.1242,                 0.7411,                 1.2817,                0.95698,                0.95441,                0.97985,                0.70131,                  1.247,                0.43111,                 1.3009,               0.003004,               0.003004,               0.003004
                     55,                 1.1149,                0.74583,                 1.2791,                0.96012,                0.95329,                0.98183,                0.69421,                 1.2528,                0.40224,                 1.2935,               0.002872,               0.002872,               0.002872
                     56,                 1.1037,                0.73185,                 1.2707,                0.95613,                0.95795,                0.98156,                0.70019,                 1.2468,                0.42707,                 1.2875,                0.00274,                0.00274,                0.00274
