                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1823,                 1.0104,                 1.2689,                 0.9043,                0.77276,                0.87226,                0.46961,                 1.5906,                0.79582,                 1.5848,               0.070155,              0.0033162,              0.0033162
                      1,                   1.01,                0.55972,                 1.1245,                0.88099,                0.79471,                0.84454,                0.43682,                 1.5958,                0.89849,                 1.5713,               0.040067,              0.0065617,              0.0065617
                      2,                 1.0766,                0.63924,                 1.1579,                0.78407,                0.58603,                0.66165,                0.28284,                 1.9068,                 1.4729,                 1.9278,              0.0098911,              0.0097193,              0.0097193
                      3,                  1.142,                0.71209,                 1.2042,                0.43394,                0.43453,                0.32293,                0.13264,                 2.0376,                  3.721,                 2.1011,               0.009604,               0.009604,               0.009604
                      4,                 1.1157,                0.67184,                  1.186,                0.88058,                0.76243,                0.82391,                0.42503,                 1.6609,                 1.0021,                 1.6484,               0.009604,               0.009604,               0.009604
                      5,                  1.088,                0.63543,                  1.174,                0.88665,                0.71917,                0.80844,                0.41713,                  1.644,                   1.01,                 1.6636,               0.009472,               0.009472,               0.009472
                      6,                 1.0833,                0.61276,                 1.1706,                0.90805,                0.79053,                0.84827,                0.44282,                 1.6485,                0.88109,                 1.6401,                0.00934,                0.00934,                0.00934
                      7,                 1.0525,                0.59891,                 1.1441,                0.86289,                0.68663,                 0.7743,                0.37097,                  1.798,                 1.0455,                 1.7306,               0.009208,               0.009208,               0.009208
                      8,                  1.037,                0.57018,                 1.1381,                0.79192,                0.52333,                0.60124,                0.26617,                  1.899,                 1.5344,                 1.8007,               0.009076,               0.009076,               0.009076
                      9,                 1.0196,                0.55512,                 1.1275,                0.91942,                0.78078,                0.86407,                0.45983,                 1.6748,                0.82286,                 1.5892,               0.008944,               0.008944,               0.008944
                     10,                 1.0116,                0.53943,                 1.1255,                0.93515,                0.83781,                0.88009,                0.48373,                 1.5907,                0.73394,                 1.5603,               0.008812,               0.008812,               0.008812
                     11,                0.99887,                0.53027,                 1.1154,                 0.8664,                0.73596,                0.79703,                0.38506,                 1.7852,                0.93919,                 1.6869,                0.00868,                0.00868,                0.00868
                     12,                0.98286,                0.51231,                 1.1038,                0.88896,                0.83725,                0.84819,                0.43998,                 1.6619,                0.75012,                 1.6196,               0.008548,               0.008548,               0.008548
                     13,                0.97495,                0.50386,                 1.1022,                0.94039,                0.84248,                0.89127,                0.49591,                 1.5428,                 0.7028,                 1.5437,               0.008416,               0.008416,               0.008416
                     14,                0.96829,                0.50134,                 1.0981,                0.88125,                0.79923,                0.86337,                0.45823,                 1.6783,                0.86421,                 1.6059,               0.008284,               0.008284,               0.008284
                     15,                0.95864,                0.49301,                 1.0916,                0.95127,                0.85281,                0.90075,                0.50016,                 1.5919,                0.67236,                 1.5491,               0.008152,               0.008152,               0.008152
                     16,                0.95466,                0.48766,                 1.0909,                0.94628,                0.82634,                0.88001,                0.48823,                 1.5736,                0.67692,                 1.5204,                0.00802,                0.00802,                0.00802
                     17,                0.95182,                0.47992,                 1.0802,                0.94785,                 0.8328,                 0.8906,                0.49189,                 1.5792,                0.66986,                 1.5474,               0.007888,               0.007888,               0.007888
                     18,                0.93616,                0.46828,                 1.0744,                0.95147,                0.84506,                0.88843,                0.49126,                 1.5545,                0.66158,                 1.5472,               0.007756,               0.007756,               0.007756
                     19,                0.92805,                0.46936,                 1.0711,                0.93459,                0.83937,                0.88881,                0.50745,                 1.5485,                0.69745,                 1.5272,               0.007624,               0.007624,               0.007624
                     20,                0.92512,                0.45978,                 1.0707,                0.94713,                0.82182,                0.88111,                0.47174,                 1.5807,                0.67874,                 1.5658,               0.007492,               0.007492,               0.007492
                     21,                0.91887,                0.45112,                  1.065,                0.93568,                0.84519,                0.89969,                0.50031,                  1.546,                0.65418,                 1.5237,                0.00736,                0.00736,                0.00736
                     22,                0.91323,                0.45276,                 1.0641,                0.94091,                0.85797,                0.89271,                0.48091,                 1.6116,                0.66765,                 1.5854,               0.007228,               0.007228,               0.007228
                     23,                0.89526,                 0.4374,                 1.0552,                0.94705,                0.86185,                0.91196,                0.50747,                 1.5742,                0.63622,                 1.5396,               0.007096,               0.007096,               0.007096
                     24,                0.90401,                0.43979,                 1.0618,                0.95548,                0.85905,                0.90774,                0.52486,                 1.5106,                0.61933,                 1.5024,               0.006964,               0.006964,               0.006964
                     25,                0.89825,                0.43575,                 1.0584,                0.92841,                0.86572,                0.90066,                0.48482,                 1.5878,                0.64897,                 1.5445,               0.006832,               0.006832,               0.006832
                     26,                0.89025,                0.42249,                 1.0518,                 0.9502,                0.86219,                0.90525,                0.52513,                 1.5325,                0.64109,                 1.5049,                 0.0067,                 0.0067,                 0.0067
                     27,                0.88724,                0.42412,                 1.0434,                0.92842,                0.86241,                0.90642,                0.51839,                 1.5324,                0.63795,                 1.5071,               0.006568,               0.006568,               0.006568
                     28,                0.87414,                0.42109,                 1.0453,                0.95209,                0.86637,                0.90357,                0.52207,                 1.5155,                0.59031,                 1.4792,               0.006436,               0.006436,               0.006436
                     29,                 0.8665,                0.41428,                 1.0424,                0.95268,                0.85773,                0.90737,                0.52403,                 1.5117,                0.60935,                 1.4802,               0.006304,               0.006304,               0.006304
                     30,                0.86621,                0.41005,                 1.0332,                 0.9675,                0.85474,                0.91324,                0.54201,                 1.4969,                0.61283,                 1.4784,               0.006172,               0.006172,               0.006172
